ONE-BODY DENSITY MATRIX FOR 2JO = 8 TO =, 0
2 5 2 5   0.00025
2 5 2 3   -0.00809
2 3 2 5   0.01191
3 7 3 7   -0.24679
3 7 3 3   0.24923
3 7 3 5   -0.00015
3 7 3 1   0.00829
3 3 3 7   0.56127
3 3 3 5   0.00348
3 5 3 7   -0.00166
3 5 3 3   -0.00925
3 5 3 5   0.00018
3 1 3 7   -0.04618
ONE-BODY DENSITY MATRIX FOR 2JO = 8 TO =, 2
2 5 2 5   0.00025
2 5 2 3   0.00614
2 3 2 5   -0.00898
3 7 3 7   -0.17451
3 7 3 3   0.17661
3 7 3 5   -0.00054
3 7 3 1   0.00642
3 3 3 7   0.39717
3 3 3 5   0.00299
3 5 3 7   -0.00092
3 5 3 3   -0.00744
3 5 3 5   0.00008
3 1 3 7   -0.03295
