ONE-BODY DENSITY MATRIX FOR 2JO = 8 TO =, 0
2 5 2 5   -0.00661
2 5 2 3   -0.00908
2 3 2 5   0.00732
3 7 3 7   -0.90042
3 7 3 3   -0.11473
3 7 3 5   -0.00121
3 7 3 1   -0.00696
3 3 3 7   -0.25412
3 3 3 5   -0.00490
3 5 3 7   0.01627
3 5 3 3   0.01198
3 5 3 5   -0.00043
3 1 3 7   0.03814
ONE-BODY DENSITY MATRIX FOR 2JO = 8 TO =, 2
2 5 2 5   -0.00173
2 5 2 3   0.00525
2 3 2 5   -0.00259
3 7 3 7   -0.63903
3 7 3 3   -0.08190
3 7 3 5   -0.00189
3 7 3 1   -0.00542
3 3 3 7   -0.18044
3 3 3 5   -0.00424
3 5 3 7   0.01279
3 5 3 3   0.00932
3 5 3 5   -0.00303
3 1 3 7   0.02733
