ONE-BODY DENSITY MATRIX FOR 2JO = 6 TO =, 0
2 5 2 5   -0.00068
2 5 2 1   0.00098
2 5 2 3   0.01860
2 1 2 5   -0.00297
2 3 2 5   0.04054
2 3 2 3   0.23166
3 7 3 7   -0.13668
3 7 3 3   0.17097
3 7 3 5   -0.00823
3 7 3 1   -0.00311
3 3 3 7   -0.49306
3 3 3 3   -0.00041
3 3 3 5   -0.00033
3 5 3 7   -0.01069
3 5 3 3   -0.00114
3 5 3 5   0.00158
3 5 3 1   0.00024
3 1 3 7   -0.01139
3 1 3 5   0.00062
ONE-BODY DENSITY MATRIX FOR 2JO = 6 TO =, 2
2 5 2 5   -0.00052
2 5 2 1   0.00005
2 5 2 3   -0.01332
2 1 2 5   0.00093
2 3 2 5   -0.02897
2 3 2 3   -0.16349
3 7 3 7   -0.09609
3 7 3 3   0.12141
3 7 3 5   -0.00617
3 7 3 1   -0.00204
3 3 3 7   -0.34838
3 3 3 3   -0.00068
3 3 3 5   -0.00007
3 5 3 7   -0.00829
3 5 3 3   -0.00158
3 5 3 5   -0.00046
3 5 3 1   0.00029
3 1 3 7   -0.00783
3 1 3 5   -0.00082
